Carbon concentration / weight %,Silicon concentration / weight %,Manganese concentration / weight %,Sulphur concentration / weight %,Phosphorus concentration / weight %,Nickel concentration / weight %,Chromium concentration / weight %,Molybdenum concentration / weight %,Vanadium concentration / weight %,Copper concentration / weight %,Cobalt concentration / weight %,Tungsten concentration / weight %,Oxygen concentration / parts per million by weight,Titanium concentration / parts per million by weight,Nitrogen concentration / parts per million by weight,Aluminium concentration / parts per million by weight,Boron concentration / parts per million by weight,Niobium concentration / parts per million by weight,Tin concentration / parts per million by weight,Arsenic concentration / parts per million by weight,Antimony concentration / parts per million by weight,Current / A,Voltage / V,AC or DC,Heat input / kJ mm^{-1},Interpass temperature / °C,Type of weld,Post weld heat treatment temperature / °C,Post weld heat treatment time / hours,Yield strength / MPa,Ultimate tensile strength / MPa,Elongation / %,Reduction of Area / %,Charpy temperature / °C,Charpy impact toughness / J,Hardness / kg mm^{-2},50% FATT,Weld ID,Nitrogen residual concentration,Hardness scale,Electrode Positive,Electrode Negative,Group
0.045,0.33,1.85,0.007,0.016,0.0,,,,,,,,,,,,,,,,170.0,21.0,1.0,1.0,200,MMA,0.0,0.0,,,,,-38.0,100.0,,,Evans-Ni/CMn-1990/1991-0Dawch,,,1,0,Evans
0.045,0.33,1.85,0.007,0.016,0.0,,,,,,,,,,,,,,,,170.0,21.0,1.0,1.0,200,MMA,580.0,2.0,479.0,576.0,27.4,76.9,-40.0,100.0,,,Evans-Ni/CMn-1990/1991-0Dht,,,1,0,Evans
0.039,0.32,0.66,0.006,0.011,0.53,,,,,,,,,,,,,,,,170.0,21.0,1.0,1.0,200,MMA,250.0,14.0,411.0,484.0,32.6,79.3,,,,,Evans-Ni/CMn-1990/1991-0.5Aaw,,,1,0,Evans
0.039,0.32,0.66,0.006,0.011,0.53,,,,,,,,,,,,,,,,170.0,21.0,1.0,1.0,200,MMA,580.0,2.0,401.0,475.0,34.2,80.6,,,,,Evans-Ni/CMn-1990/1991-0.5Aht,,,1,0,Evans
0.041,0.33,1.01,0.006,0.011,0.49,,,,,,,,,,,,,,,,170.0,21.0,1.0,1.0,200,MMA,250.0,14.0,464.0,522.0,29.6,77.8,,,,,Evans-Ni/CMn-1990/1991-0.5Baw,,,1,0,Evans
0.041,0.33,1.01,0.006,0.011,0.49,,,,,,,,,,,,,,,,170.0,21.0,1.0,1.0,200,MMA,0.0,0.0,,,,,,,,,Evans-Ni/CMn-1990/1991-0.5Bawmic,,,1,0,Evans
0.041,0.33,1.01,0.006,0.011,0.49,,,,,,,,,,,,,,,,170.0,21.0,1.0,1.0,200,MMA,580.0,2.0,426.0,506.0,31.6,79.7,,,,,Evans-Ni/CMn-1990/1991-0.5Bht,,,1,0,Evans
0.051,0.32,1.4,0.007,0.014,0.47,,,,,,,,,,,,,,,,170.0,21.0,1.0,1.0,200,MMA,250.0,14.0,509.0,568.0,28.6,76.9,,,,,Evans-Ni/CMn-1990/1991-0.5Caw,,,1,0,Evans
0.051,0.32,1.4,0.007,0.014,0.47,,,,,,,,,,,,,,,,170.0,21.0,1.0,1.0,200,MMA,580.0,2.0,450.0,536.0,28.2,78.8,,,,,Evans-Ni/CMn-1990/1991-0.5Cht,,,1,0,Evans
0.049,0.33,1.85,0.006,0.014,0.51,,,,,,,,,,,,,,,,170.0,21.0,1.0,1.0,200,MMA,250.0,14.0,547.0,618.0,26.0,74.9,,,,,Evans-Ni/CMn-1990/1991-0.5Daw,,,1,0,Evans
0.049,0.33,1.85,0.006,0.014,0.51,,,,,,,,,,,,,,,,170.0,21.0,1.0,1.0,200,MMA,0.0,0.0,,,,,,,,,Evans-Ni/CMn-1990/1991-0.5Dawmic,,,1,0,Evans
0.049,0.33,1.85,0.006,0.014,0.51,,,,,,,,,,,,,,,,170.0,21.0,1.0,1.0,200,MMA,580.0,2.0,526.0,612.0,26.8,72.9,,,,,Evans-Ni/CMn-1990/1991-0.5Dht,,,1,0,Evans
0.038,0.31,0.63,0.007,0.012,1.09,,,,,,,,,,,,,,,,170.0,21.0,1.0,1.0,200,MMA,250.0,14.0,423.0,497.0,30.6,78.8,,,,,Evans-Ni/CMn-1990/1991-1Aaw,,,1,0,Evans
0.038,0.31,0.63,0.007,0.012,1.09,,,,,,,,,,,,,,,,170.0,21.0,1.0,1.0,200,MMA,0.0,0.0,,,,,-38.0,100.0,,,Evans-Ni/CMn-1990/1991-1Aawch,,,1,0,Evans
0.038,0.31,0.63,0.007,0.012,1.09,,,,,,,,,,,,,,,,170.0,21.0,1.0,1.0,200,MMA,580.0,2.0,411.0,493.0,33.6,79.7,-40.0,100.0,,,Evans-Ni/CMn-1990/1991-1Aht,,,1,0,Evans
0.043,0.33,1.0,0.006,0.013,1.1,,,,,,,,,,,,,,,,170.0,21.0,1.0,1.0,200,MMA,250.0,14.0,475.0,541.0,29.6,77.9,,,,,Evans-Ni/CMn-1990/1991-1Baw,,,1,0,Evans
0.043,0.33,1.0,0.006,0.013,1.1,,,,,,,,,,,,,,,,170.0,21.0,1.0,1.0,200,MMA,0.0,0.0,,,,,-55.0,100.0,,,Evans-Ni/CMn-1990/1991-1Bawch,,,1,0,Evans
0.043,0.33,1.0,0.006,0.013,1.1,,,,,,,,,,,,,,,,170.0,21.0,1.0,1.0,200,MMA,580.0,2.0,443.0,521.0,31.8,77.8,-51.0,100.0,,,Evans-Ni/CMn-1990/1991-1Bht,,,1,0,Evans
0.049,0.35,1.37,0.007,0.013,1.06,,,,,,,,,,,,,,,,170.0,21.0,1.0,1.0,200,MMA,250.0,14.0,498.0,569.0,28.4,78.8,,,,,Evans-Ni/CMn-1990/1991-1Caw,,,1,0,Evans
0.049,0.35,1.37,0.007,0.013,1.06,,,,,,,,,,,,,,,,170.0,21.0,1.0,1.0,200,MMA,0.0,0.0,,,,,-58.0,100.0,,,Evans-Ni/CMn-1990/1991-1Cawch,,,1,0,Evans
0.049,0.35,1.37,0.007,0.013,1.06,,,,,,,,,,,,,,,,170.0,21.0,1.0,1.0,200,MMA,580.0,2.0,470.0,557.0,30.2,76.0,-20.0,100.0,,,Evans-Ni/CMn-1990/1991-1Cht,,,1,0,Evans
0.053,0.35,1.83,0.007,0.012,1.06,,,,,,,,,,,,,,,,170.0,21.0,1.0,1.0,200,MMA,250.0,14.0,566.0,641.0,26.4,76.0,,,,,Evans-Ni/CMn-1990/1991-1Daw,,,1,0,Evans
0.053,0.35,1.83,0.007,0.012,1.06,,,,,,,,,,,,,,,,170.0,21.0,1.0,1.0,200,MMA,0.0,0.0,,,,,-39.0,100.0,,,Evans-Ni/CMn-1990/1991-1Dawch,,,1,0,Evans
0.053,0.35,1.83,0.007,0.012,1.06,,,,,,,,,,,,,,,,170.0,21.0,1.0,1.0,200,MMA,580.0,2.0,521.0,612.0,26.0,74.0,1.0,100.0,,,Evans-Ni/CMn-1990/1991-1Dht,,,1,0,Evans
0.041,0.3,0.62,0.007,0.01,2.38,,,,,,,,,,,,,,,,170.0,21.0,1.0,1.0,200,MMA,250.0,14.0,466.0,538.0,30.6,77.8,,,,,Evans-Ni/CMn-1990/1991-2.25Aaw,,,1,0,Evans
0.041,0.3,0.62,0.007,0.01,2.38,,,,,,,,,,,,,,,,170.0,21.0,1.0,1.0,200,MMA,0.0,0.0,,,,,-50.0,100.0,,,Evans-Ni/CMn-1990/1991-2.25Aawch,,,1,0,Evans
0.041,0.3,0.62,0.007,0.01,2.38,,,,,,,,,,,,,,,,170.0,21.0,1.0,1.0,200,MMA,580.0,2.0,431.0,518.0,32.2,76.9,-41.0,100.0,,,Evans-Ni/CMn-1990/1991-2.25Aht,,,1,0,Evans
0.044,0.31,0.96,0.006,0.013,2.38,,,,,,,,,,,,,,,,170.0,21.0,1.0,1.0,200,MMA,250.0,14.0,489.0,567.0,30.6,76.9,,,,,Evans-Ni/CMn-1990/1991-2.25Baw,,,1,0,Evans
0.044,0.31,0.96,0.006,0.013,2.38,,,,,,,,,,,,,,,,170.0,21.0,1.0,1.0,200,MMA,0.0,0.0,,,,,-59.0,100.0,,,Evans-Ni/CMn-1990/1991-2.25Bawch,,,1,0,Evans
0.044,0.31,0.96,0.006,0.013,2.38,,,,,,,,,,,,,,,,170.0,21.0,1.0,1.0,200,MMA,580.0,2.0,481.0,561.0,29.1,76.9,-44.0,100.0,,,Evans-Ni/CMn-1990/1991-2.25Bht,,,1,0,Evans
0.049,0.32,1.41,0.007,0.014,2.32,,,,,,,,,,,,,,,,170.0,21.0,1.0,1.0,200,MMA,250.0,14.0,567.0,635.0,23.6,72.7,,,,,Evans-Ni/CMn-1990/1991-2.25Caw,,,1,0,Evans
0.049,0.32,1.41,0.007,0.014,2.32,,,,,,,,,,,,,,,,170.0,21.0,1.0,1.0,200,MMA,0.0,0.0,,,,,-38.0,100.0,,,Evans-Ni/CMn-1990/1991-2.25Cawch,,,1,0,Evans
0.049,0.32,1.41,0.007,0.014,2.32,,,,,,,,,,,,,,,,170.0,21.0,1.0,1.0,200,MMA,580.0,2.0,530.0,615.0,26.6,73.0,-20.0,100.0,,,Evans-Ni/CMn-1990/1991-2.25Cht,,,1,0,Evans
0.046,0.32,1.81,0.007,0.015,2.33,,,,,,,,,,,,,,,,170.0,21.0,1.0,1.0,200,MMA,250.0,14.0,621.0,684.0,23.5,73.9,,,,,Evans-Ni/CMn-1990/1991-2.25Daw,,,1,0,Evans
0.046,0.32,1.81,0.007,0.015,2.33,,,,,,,,,,,,,,,,170.0,21.0,1.0,1.0,200,MMA,0.0,0.0,,,,,-30.0,100.0,,,Evans-Ni/CMn-1990/1991-2.25Dawch,,,1,0,Evans
0.046,0.32,1.81,0.007,0.015,2.33,,,,,,,,,,,,,,,,170.0,21.0,1.0,1.0,200,MMA,580.0,2.0,574.0,665.0,26.4,70.7,,,,,Evans-Ni/CMn-1990/1991-2.25Dht,,,1,0,Evans
0.037,0.3,0.65,0.009,0.011,3.5,,,,,,,,,,,,,,,,170.0,21.0,1.0,1.0,200,MMA,250.0,14.0,479.0,561.0,30.4,76.6,,,,,Evans-Ni/CMn-1990/1991-3.5Aaw,,,1,0,Evans
0.037,0.3,0.65,0.009,0.011,3.5,,,,,,,,,,,,,,,,170.0,21.0,1.0,1.0,200,MMA,0.0,0.0,,,,,-26.0,100.0,,,Evans-Ni/CMn-1990/1991-3.5Aawch,,,1,0,Evans
0.037,0.3,0.65,0.009,0.011,3.5,,,,,,,,,,,,,,,,170.0,21.0,1.0,1.0,200,MMA,580.0,2.0,482.0,560.0,31.4,48.8,-63.0,100.0,,,Evans-Ni/CMn-1990/1991-3.5Aht,,,1,0,Evans
0.041,0.31,0.98,0.008,0.012,3.46,,,,,,,,,,,,,,,,170.0,21.0,1.0,1.0,200,MMA,250.0,14.0,525.0,605.0,27.6,76.0,,,,,Evans-Ni/CMn-1990/1991-3.5Baw,,,1,0,Evans
0.041,0.31,0.98,0.008,0.012,3.46,,,,,,,,,,,,,,,,170.0,21.0,1.0,1.0,200,MMA,0.0,0.0,,,,,-48.0,100.0,,,Evans-Ni/CMn-1990/1991-3.5Bawch,,,1,0,Evans
0.041,0.31,0.98,0.008,0.012,3.46,,,,,,,,,,,,,,,,170.0,21.0,1.0,1.0,200,MMA,580.0,2.0,521.0,599.0,28.4,74.0,-38.0,100.0,,,Evans-Ni/CMn-1990/1991-3.5Bht,,,1,0,Evans
0.048,0.33,1.4,0.007,0.013,3.47,,,,,,,,,,,,,,,,170.0,21.0,1.0,1.0,200,MMA,250.0,14.0,621.0,682.0,25.4,72.9,,,,,Evans-Ni/CMn-1990/1991-3.5Caw,,,1,0,Evans
0.048,0.33,1.4,0.007,0.013,3.47,,,,,,,,,,,,,,,,170.0,21.0,1.0,1.0,200,MMA,0.0,0.0,,,,,-18.0,100.0,,,Evans-Ni/CMn-1990/1991-3.5Cawch,,,1,0,Evans
0.048,0.33,1.4,0.007,0.013,3.47,,,,,,,,,,,,,,,,170.0,21.0,1.0,1.0,200,MMA,580.0,2.0,584.0,677.0,26.6,70.8,56.0,100.0,,,Evans-Ni/CMn-1990/1991-3.5Cht,,,1,0,Evans
0.051,0.36,1.79,0.007,0.013,3.42,,,,,,,,,,,,,,,,170.0,21.0,1.0,1.0,200,MMA,250.0,14.0,692.0,753.0,22.2,69.7,,,,,Evans-Ni/CMn-1990/1991-3.5Daw,,,1,0,Evans
0.051,0.36,1.79,0.007,0.013,3.42,,,,,,,,,,,,,,,,170.0,21.0,1.0,1.0,200,MMA,0.0,0.0,,,,,24.0,100.0,,,Evans-Ni/CMn-1990/1991-3.5Dawch,,,1,0,Evans
0.051,0.36,1.79,0.007,0.013,3.42,,,,,,,,,,,,,,,,170.0,21.0,1.0,1.0,200,MMA,580.0,2.0,662.0,745.0,24.0,67.5,,,,,Evans-Ni/CMn-1990/1991-3.5Dht,,,1,0,Evans
0.074,0.29,1.49,0.006,0.013,,,,,,,,471.0,5.0,72.0,6.0,,,,,,170.0,21.0,1.0,1.0,200,MMA,250.0,14.0,431.0,527.0,29.6,78.0,,,,,Evans-AlTi-1994-5/6ht,,,1,0,Evans
0.074,0.29,1.49,0.006,0.013,,,,,,,,471.0,5.0,72.0,6.0,,,,,,170.0,21.0,1.0,1.0,200,MMA,0.0,0.0,,,,,-41.0,28.0,,,Evans-AlTi-1994-5/6awch1,,,1,0,Evans
0.074,0.29,1.49,0.006,0.013,,,,,,,,471.0,5.0,72.0,6.0,,,,,,170.0,21.0,1.0,1.0,200,MMA,0.0,0.0,,,,,-19.0,100.0,,,Evans-AlTi-1994-5/6awch2,,,1,0,Evans
0.074,0.29,1.49,0.006,0.013,,,,,,,,471.0,5.0,72.0,6.0,,,,,,170.0,21.0,1.0,1.0,200,MMA,0.0,0.0,,,,,,,,,Evans-AlTi-1994-5/6awmic,,,1,0,Evans
0.081,0.29,1.43,0.006,0.013,,,,,,,,461.0,5.0,54.0,60.0,,,,,,170.0,21.0,1.0,1.0,200,MMA,250.0,14.0,444.0,542.0,27.6,72.9,,,,,Evans-AlTi-1994-5/60ht,,,1,0,Evans
0.081,0.29,1.43,0.006,0.013,,,,,,,,461.0,5.0,54.0,60.0,,,,,,170.0,21.0,1.0,1.0,200,MMA,0.0,0.0,,,,,-39.0,28.0,,,Evans-AlTi-1994-5/60awch1,,,1,0,Evans
0.081,0.29,1.43,0.006,0.013,,,,,,,,461.0,5.0,54.0,60.0,,,,,,170.0,21.0,1.0,1.0,200,MMA,0.0,0.0,,,,,-15.0,100.0,,,Evans-AlTi-1994-5/60awch2,,,1,0,Evans
0.081,0.29,1.43,0.006,0.013,,,,,,,,461.0,5.0,54.0,60.0,,,,,,170.0,21.0,1.0,1.0,200,MMA,0.0,0.0,,,,,,,,,Evans-AlTi-1994-5/60awmic,,,1,0,Evans
0.076,0.34,1.36,0.005,0.011,,,,,,,,476.0,5.0,57.0,150.0,,,,,,170.0,21.0,1.0,1.0,200,MMA,250.0,14.0,437.0,527.0,24.6,78.9,,,,,Evans-AlTi-1994-5/150ht,,,1,0,Evans
0.076,0.34,1.36,0.005,0.011,,,,,,,,476.0,5.0,57.0,150.0,,,,,,170.0,21.0,1.0,1.0,200,MMA,0.0,0.0,,,,,-58.0,28.0,,,Evans-AlTi-1994-5/150ch1,,,1,0,Evans
0.076,0.34,1.36,0.005,0.011,,,,,,,,476.0,5.0,57.0,150.0,,,,,,170.0,21.0,1.0,1.0,200,MMA,0.0,0.0,,,,,-20.0,100.0,,,Evans-AlTi-1994-5/150ch2,,,1,0,Evans
0.076,0.34,1.36,0.005,0.011,,,,,,,,476.0,5.0,57.0,150.0,,,,,,170.0,21.0,1.0,1.0,200,MMA,0.0,0.0,,,,,,,,,Evans-AlTi-1994-5/150mic,,,1,0,Evans
0.079,0.39,1.37,0.005,0.011,,,,,,,,446.0,5.0,47.0,250.0,,,,,,170.0,21.0,1.0,1.0,200,MMA,250.0,14.0,437.0,538.0,25.2,78.9,,,,,Evans-AlTi-1994-5/250ht,,,1,0,Evans
0.079,0.39,1.37,0.005,0.011,,,,,,,,446.0,5.0,47.0,250.0,,,,,,170.0,21.0,1.0,1.0,200,MMA,0.0,0.0,,,,,-56.0,28.0,,,Evans-AlTi-1994-5/250ch1,,,1,0,Evans
0.079,0.39,1.37,0.005,0.011,,,,,,,,446.0,5.0,47.0,250.0,,,,,,170.0,21.0,1.0,1.0,200,MMA,0.0,0.0,,,,,-25.0,100.0,,,Evans-AlTi-1994-5/250ch2,,,1,0,Evans
0.079,0.39,1.37,0.005,0.011,,,,,,,,446.0,5.0,47.0,250.0,,,,,,170.0,21.0,1.0,1.0,200,MMA,0.0,0.0,,,,,,,,,Evans-AlTi-1994-5/250mic,,,1,0,Evans
0.078,0.44,1.4,0.004,0.011,,,,,,,,436.0,5.0,44.0,420.0,,,,,,170.0,21.0,1.0,1.0,200,MMA,250.0,14.0,469.0,545.0,24.4,77.0,,,,,Evans-AlTi-1994-5/420ht,,,1,0,Evans
0.078,0.44,1.4,0.004,0.011,,,,,,,,436.0,5.0,44.0,420.0,,,,,,170.0,21.0,1.0,1.0,200,MMA,0.0,0.0,,,,,-62.0,28.0,,,Evans-AlTi-1994-5/420ch1,,,1,0,Evans
0.078,0.44,1.4,0.004,0.011,,,,,,,,436.0,5.0,44.0,420.0,,,,,,170.0,21.0,1.0,1.0,200,MMA,0.0,0.0,,,,,-30.0,100.0,,,Evans-AlTi-1994-5/420ch2,,,1,0,Evans
0.078,0.44,1.4,0.004,0.011,,,,,,,,436.0,5.0,44.0,420.0,,,,,,170.0,21.0,1.0,1.0,200,MMA,0.0,0.0,,,,,,,,,Evans-AlTi-1994-5/420mic,,,1,0,Evans
0.081,0.48,1.42,0.004,0.006,,,,,,,,444.0,4.0,46.0,660.0,,,,,,170.0,21.0,1.0,1.0,200,MMA,250.0,14.0,466.0,551.0,26.2,78.9,,,,,Evans-AlTi-1994-5/660ht,,,1,0,Evans
0.081,0.48,1.42,0.004,0.006,,,,,,,,444.0,4.0,46.0,660.0,,,,,,170.0,21.0,1.0,1.0,200,MMA,0.0,0.0,,,,,-76.0,28.0,,,Evans-AlTi-1994-5/660ch1,,,1,0,Evans
0.081,0.48,1.42,0.004,0.006,,,,,,,,444.0,4.0,46.0,660.0,,,,,,170.0,21.0,1.0,1.0,200,MMA,0.0,0.0,,,,,-29.0,100.0,,,Evans-AlTi-1994-5/660ch2,,,1,0,Evans
0.081,0.48,1.42,0.004,0.006,,,,,,,,444.0,4.0,46.0,660.0,,,,,,170.0,21.0,1.0,1.0,200,MMA,0.0,0.0,,,,,,,,,Evans-AlTi-1994-5/660mic,,,1,0,Evans
0.069,0.3,1.36,0.007,0.009,,,,,,,,432.0,37.0,68.0,5.0,,,,,,170.0,21.0,1.0,1.0,200,MMA,250.0,14.0,468.0,529.0,32.6,80.7,,,,,Evans-AlTi-1994-40/5ht,,,1,0,Evans
0.069,0.3,1.36,0.007,0.009,,,,,,,,432.0,37.0,68.0,5.0,,,,,,170.0,21.0,1.0,1.0,200,MMA,0.0,0.0,,,,,-99.0,28.0,,,Evans-AlTi-1994-40/5ch1,,,1,0,Evans
0.069,0.3,1.36,0.007,0.009,,,,,,,,432.0,37.0,68.0,5.0,,,,,,170.0,21.0,1.0,1.0,200,MMA,0.0,0.0,,,,,-72.0,100.0,,,Evans-AlTi-1994-40/5ch2,,,1,0,Evans
0.069,0.3,1.36,0.007,0.009,,,,,,,,432.0,37.0,68.0,5.0,,,,,,170.0,21.0,1.0,1.0,200,MMA,0.0,0.0,,,,,,,,,Evans-AlTi-1994-40/5mic,,,1,0,Evans
0.08,0.33,1.41,0.006,0.009,,,,,,,,432.0,43.0,55.0,78.0,,,,,,170.0,21.0,1.0,1.0,200,MMA,250.0,14.0,478.0,540.0,31.2,80.7,,,,,Evans-AlTi-1994-40/78ht,,,1,0,Evans
0.08,0.33,1.41,0.006,0.009,,,,,,,,432.0,43.0,55.0,78.0,,,,,,170.0,21.0,1.0,1.0,200,MMA,0.0,0.0,,,,,-77.0,28.0,,,Evans-AlTi-1994-40/78ch1,,,1,0,Evans
0.08,0.33,1.41,0.006,0.009,,,,,,,,432.0,43.0,55.0,78.0,,,,,,170.0,21.0,1.0,1.0,200,MMA,0.0,0.0,,,,,-55.0,100.0,,,Evans-AlTi-1994-40/78ch2,,,1,0,Evans
0.08,0.33,1.41,0.006,0.009,,,,,,,,432.0,43.0,55.0,78.0,,,,,,170.0,21.0,1.0,1.0,200,MMA,0.0,0.0,,,,,,,,,Evans-AlTi-1994-40/78mic,,,1,0,Evans
0.076,0.37,1.36,0.005,0.009,,,,,,,,422.0,36.0,53.0,190.0,,,,,,170.0,21.0,1.0,1.0,200,MMA,250.0,14.0,485.0,549.0,31.4,79.8,,,,,Evans-AlTi-1994-40/190ht,,,1,0,Evans
0.076,0.37,1.36,0.005,0.009,,,,,,,,422.0,36.0,53.0,190.0,,,,,,170.0,21.0,1.0,1.0,200,MMA,0.0,0.0,,,,,-86.0,28.0,,,Evans-AlTi-1994-40/190ch1,,,1,0,Evans
0.076,0.37,1.36,0.005,0.009,,,,,,,,422.0,36.0,53.0,190.0,,,,,,170.0,21.0,1.0,1.0,200,MMA,0.0,0.0,,,,,-58.0,100.0,,,Evans-AlTi-1994-40/190ch2,,,1,0,Evans
0.076,0.37,1.36,0.005,0.009,,,,,,,,422.0,36.0,53.0,190.0,,,,,,170.0,21.0,1.0,1.0,200,MMA,0.0,0.0,,,,,,,,,Evans-AlTi-1994-40/190mic,,,1,0,Evans
0.078,0.44,1.31,0.005,0.008,,,,,,,,431.0,36.0,50.0,340.0,,,,,,170.0,21.0,1.0,1.0,200,MMA,250.0,14.0,491.0,564.0,28.2,78.9,,,,,Evans-AlTi-1994-40/340ht,,,1,0,Evans
0.078,0.44,1.31,0.005,0.008,,,,,,,,431.0,36.0,50.0,340.0,,,,,,170.0,21.0,1.0,1.0,200,MMA,0.0,0.0,,,,,-88.0,28.0,,,Evans-AlTi-1994-40/340ch1,,,1,0,Evans
0.078,0.44,1.31,0.005,0.008,,,,,,,,431.0,36.0,50.0,340.0,,,,,,170.0,21.0,1.0,1.0,200,MMA,0.0,0.0,,,,,-63.0,100.0,,,Evans-AlTi-1994-40/340ch2,,,1,0,Evans
0.078,0.44,1.31,0.005,0.008,,,,,,,,431.0,36.0,50.0,340.0,,,,,,170.0,21.0,1.0,1.0,200,MMA,0.0,0.0,,,,,,,,,Evans-AlTi-1994-40/340mic,,,1,0,Evans
0.076,0.51,1.3,0.005,0.008,,,,,,,,423.0,43.0,48.0,490.0,,,,,,170.0,21.0,1.0,1.0,200,MMA,250.0,14.0,485.0,560.0,25.2,78.9,,,,,Evans-AlTi-1994-40/490ht,,,1,0,Evans
0.076,0.51,1.3,0.005,0.008,,,,,,,,423.0,43.0,48.0,490.0,,,,,,170.0,21.0,1.0,1.0,200,MMA,0.0,0.0,,,,,-90.0,28.0,,,Evans-AlTi-1994-40/490ch1,,,1,0,Evans
0.076,0.51,1.3,0.005,0.008,,,,,,,,423.0,43.0,48.0,490.0,,,,,,170.0,21.0,1.0,1.0,200,MMA,0.0,0.0,,,,,-55.0,100.0,,,Evans-AlTi-1994-40/490ch2,,,1,0,Evans
0.076,0.51,1.3,0.005,0.008,,,,,,,,423.0,43.0,48.0,490.0,,,,,,170.0,21.0,1.0,1.0,200,MMA,0.0,0.0,,,,,,,,,Evans-AlTi-1994-40/490mic,,,1,0,Evans
0.079,0.57,1.32,0.004,0.008,,,,,,,,422.0,38.0,52.0,610.0,,,,,,170.0,21.0,1.0,1.0,200,MMA,250.0,14.0,491.0,570.0,29.2,77.0,,,,,Evans-AlTi-1994-40/610ht,,,1,0,Evans
0.079,0.57,1.32,0.004,0.008,,,,,,,,422.0,38.0,52.0,610.0,,,,,,170.0,21.0,1.0,1.0,200,MMA,0.0,0.0,,,,,-74.0,28.0,,,Evans-AlTi-1994-40/610ch1,,,1,0,Evans
0.079,0.57,1.32,0.004,0.008,,,,,,,,422.0,38.0,52.0,610.0,,,,,,170.0,21.0,1.0,1.0,200,MMA,0.0,0.0,,,,,-38.0,100.0,,,Evans-AlTi-1994-40/610ch2,,,1,0,Evans
0.079,0.57,1.32,0.004,0.008,,,,,,,,422.0,38.0,52.0,610.0,,,,,,170.0,21.0,1.0,1.0,200,MMA,0.0,0.0,,,,,,,,,Evans-AlTi-1994-40/610mic,,,1,0,Evans
